,ID,rodada,data,hora,mandante,visitante,vencedor,arena,mandante_Placar,visitante_Placar,mandante_Estado,visitante_Estado,Clube_Vencedor,Temporada,Total de Gols
0,1,1,2003-03-29,16:00:00,Guarani,Vasco,Guarani, Brinco de Ouro,4,2,SP,RJ,1,2003,6
1,2,1,2003-03-29,16:00:00,Athletico-PR,Gremio,Athletico-PR, Arena da Baixada,2,0,PR,RS,1,2003,2
2,3,1,2003-03-30,16:00:00,Flamengo,Coritiba,-, Maracanã,1,1,RJ,PR,3,2003,2
3,4,1,2003-03-30,16:00:00,Goias,Paysandu,-, Serra Dourada,2,2,GO,PA,3,2003,4
4,5,1,2003-03-30,16:00:00,Internacional,Ponte Preta,-, Beira Rio,1,1,RS,SP,3,2003,2
5,6,1,2003-03-30,16:00:00,Criciuma,Fluminense,Criciuma, Heriberto Hulse,2,0,SC,RJ,1,2003,2
6,7,1,2003-03-30,16:00:00,Juventude,Sao Paulo,-, Alfredo Jaconi,2,2,RS,SP,3,2003,4
7,8,1,2003-03-30,16:00:00,Fortaleza,Bahia,-, Castelão,0,0,CE,BA,3,2003,0
8,9,1,2003-03-30,16:00:00,Cruzeiro,Sao Caetano,-, Mineirão,2,2,MG,SP,3,2003,4
9,10,1,2003-03-30,16:00:00,Vitoria,Figueirense,-, Barradão,1,1,BA,SC,3,2003,2
10,11,1,2003-03-30,18:00:00,Santos,Parana,-, Vila Belmiro,2,2,SP,PR,3,2003,4
11,12,1,2003-03-30,18:00:00,Corinthians,Atletico-MG,Atletico-MG, Pacaembu,0,3,SP,MG,2,2003,3
12,13,2,2003-05-04,16:00:00,Fluminense,Fortaleza,-, Maracanã,1,1,RJ,CE,3,2003,2
13,14,2,2003-05-04,16:00:00,Atletico-MG,Santos,-, Mineirão,0,0,MG,SP,3,2003,0
14,15,2,2003-05-04,16:00:00,Coritiba,Internacional,Internacional, Couto Pereira,0,1,PR,RS,2,2003,1
15,16,2,2003-05-04,18:00:00,Gremio,Guarani,Gremio, Olímpico,3,1,RS,SP,1,2003,4
16,17,2,2003-06-04,16:00:00,Bahia,Flamengo,Flamengo, Fonte Nova,1,2,BA,RJ,2,2003,3
17,18,2,2003-06-04,16:00:00,Figueirense,Corinthians,-, Orlando Scarpelli,3,3,SC,SP,3,2003,6
18,19,2,2003-06-04,16:00:00,Paysandu,Vitoria,Vitoria, Mangueirão,1,2,PA,BA,2,2003,3
19,20,2,2003-06-04,16:00:00,Ponte Preta,Juventude,Ponte Preta, Moisés Lucarelli,1,0,SP,RS,1,2003,1
20,21,2,2003-06-04,16:00:00,Parana,Athletico-PR,Parana, Pinheirão,3,0,PR,PR,1,2003,3
21,22,2,2003-06-04,16:00:00,Sao Caetano,Criciuma,Sao Caetano, Anacleto Campanella,3,2,SP,SC,1,2003,5
22,23,2,2003-06-04,18:00:00,Sao Paulo,Cruzeiro,Cruzeiro, Morumbi,2,4,SP,MG,2,2003,6
23,24,2,2003-06-04,18:00:00,Vasco,Goias,Vasco, São Januário,6,4,RJ,GO,1,2003,10
24,25,4,2003-09-04,21:30:00,Paysandu,Santos,Paysandu, Mangueirão,2,1,PA,SP,1,2003,3
